recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14726402,289.788255,49.695973,0.832,0.666,20122234,2,6,0.427,0.071,16.596,0.000,17.023,0.071,16.703,0.041,16.208,0.011,,
14726404,289.711686,49.692141,0.776,0.719,20122234,3,8,0.830,0.115,16.740,0.000,17.570,0.115,17.149,0.052,16.716,0.120,,
14726405,289.725585,49.695935,0.632,0.608,20122234,4,16,1.378,0.105,15.817,0.097,17.195,0.042,16.468,0.056,15.292,0.013,14.824,0.077
14726406,289.729184,49.685892,0.485,0.863,20122234,4,13,0.484,0.113,15.826,0.055,16.310,0.099,15.858,0.031,15.567,0.079,15.445,0.000
14726407,289.735562,49.717088,0.225,0.822,20122234,3,10,0.623,0.064,16.260,0.030,16.883,0.057,16.429,0.033,16.009,0.011,,
14726408,289.634431,49.690209,0.337,0.485,20122234,4,19,0.629,0.027,14.653,0.017,15.282,0.020,14.875,0.023,14.465,0.052,14.429,0.050
14726411,289.657170,49.715916,0.464,0.583,20122234,3,14,0.666,0.046,15.218,0.029,15.884,0.036,15.473,0.029,15.020,0.043,15.002,0.164
14726412,289.669887,49.684287,0.630,0.617,20122234,4,15,0.796,0.042,15.878,0.042,16.674,0.000,16.212,0.038,15.629,0.013,15.457,0.000
14726413,289.589043,49.700849,0.616,1.090,20122234,2,7,0.622,0.008,15.876,0.008,16.498,0.000,16.079,0.000,15.688,0.000,15.428,0.000
14726414,289.590421,49.715732,0.370,0.568,20122234,4,20,0.404,0.042,13.098,0.037,13.502,0.021,13.216,0.024,13.014,0.051,12.983,0.032
14726415,289.631143,49.697787,0.418,0.445,20122234,4,19,0.734,0.035,14.571,0.034,15.306,0.008,14.833,0.017,14.378,0.047,14.303,0.045
14726416,289.627840,49.724264,0.523,0.462,20122234,3,13,0.525,0.030,15.193,0.011,15.718,0.028,15.339,0.016,14.998,0.046,14.846,0.000
14726417,289.652059,49.733771,0.421,0.490,20122234,4,19,0.548,0.046,15.013,0.043,15.561,0.017,15.140,0.037,14.843,0.030,14.742,0.041
14726419,289.689746,49.716836,0.777,0.705,20122234,4,15,0.441,0.085,16.147,0.046,16.588,0.071,16.203,0.039,15.874,0.014,15.459,0.000
14726420,289.680755,49.745844,0.312,0.375,20122234,4,19,0.480,0.037,14.050,0.032,14.530,0.018,14.193,0.033,13.933,0.030,13.898,0.048
14726422,289.692087,49.737726,0.194,0.566,20122234,4,20,0.402,0.036,14.266,0.024,14.668,0.027,14.360,0.025,14.156,0.074,14.098,0.093
14726424,289.620747,49.758677,0.337,0.517,20122234,4,18,1.021,0.099,14.949,0.091,15.970,0.039,15.362,0.039,14.637,0.093,14.284,0.025
14726425,289.645976,49.784086,0.627,0.759,20122234,3,10,0.670,0.178,16.327,0.016,16.996,0.177,16.538,0.024,16.096,0.079,,
14726426,289.652849,49.759748,0.319,0.516,20122234,4,19,0.536,0.070,15.098,0.068,15.634,0.016,15.267,0.035,14.930,0.054,14.913,0.074
